City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,luganville,-15.5333,167.1667,28.01,71,87,4.91,VU,1731880178
326,ironwood,46.4547,-90.171,7.45,53,0,6.69,US,1731880065
327,charters towers,-20.1,146.2667,26.36,54,59,7.33,AU,1731880180
328,cambria,35.5641,-121.0808,15.03,61,0,2.68,US,1731879934
329,bandarbeyla,9.4942,50.8122,26.24,83,84,6.01,SO,1731880182
330,nouadhibou,20.931,-17.0347,20.99,68,0,5.66,MR,1731880183
331,bismarck,46.8083,-100.7837,12.91,36,0,7.2,US,1731880184
332,coihueco,-36.6167,-71.8333,23.41,29,40,2.06,CL,1731880186
333,birjand,32.8663,59.2211,7.26,53,0,2.06,IR,1731880187
334,manga,11.6636,-1.0731,24.45,18,5,3.51,BF,1731880188
335,taroa,8.7058,171.2275,28.56,77,32,8.5,MH,1731880189
336,sanming,26.2486,117.6186,18.01,96,100,1.9,CN,1731880190
337,carutapera,-1.195,-46.02,26.92,77,6,4.78,BR,1731880191
338,chodavaram,17.8333,82.95,19.3,84,22,1.37,IN,1731880192
339,dhuusamarreeb,5.535,46.3861,24.77,74,72,4.35,SO,1731880194
340,taltal,-25.4,-70.4833,18.15,73,27,3.39,CL,1731880195
341,kourou,5.1552,-52.6478,26.24,84,59,3.56,GF,1731880196
342,fort st. john,56.2499,-120.8529,-5.06,80,100,6.69,CA,1731880197
343,fortuna,40.5982,-124.1573,13.29,97,75,0.89,US,1731880198
344,sandnessjoen,66.0217,12.6316,2.06,93,40,2.57,NO,1731880199
345,lompoc,34.6391,-120.4579,18.96,56,0,6.69,US,1731880201
346,okha,53.5739,142.9478,-7.31,88,100,10.74,RU,1731880202
347,kuraymah,18.55,31.85,22.11,26,0,5.0,SD,1731880203
348,port macquarie,-31.4333,152.9167,22.82,84,100,0.45,AU,1731880204
349,tapes,-30.6733,-51.3958,23.81,86,95,2.35,BR,1731880205
350,keflavik,64.0049,-22.5624,-3.76,74,40,9.26,IS,1731880206
351,kodinsk,58.6881,99.1844,-2.53,82,100,4.62,RU,1731880208
352,urangan,-25.3,152.9,24.46,57,38,3.83,AU,1731880209
353,cadale,2.7603,46.3222,26.61,78,100,6.04,SO,1731880210
354,reggane,26.7158,0.1714,25.91,13,99,4.66,DZ,1731880211
355,novoagansk,61.9449,76.6625,-0.26,97,100,7.8,RU,1731880212
356,karratha,-20.7377,116.8463,26.54,62,0,1.57,AU,1731880213
357,thames,-37.1333,175.5333,17.53,44,0,3.06,NZ,1731880214
358,yanchep,-31.55,115.6833,17.02,48,0,7.17,AU,1731880215
359,zonguldak,41.25,31.8333,6.83,89,95,1.46,TR,1731879966
